TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2024,27,34.2,29.7,66,-,4.4,9,250,5,SW
02-12-2024,25,32.9,28.7,73,9999,8,7,220,4,SW
03-12-2024,24.6,28.5,25.5,86,1,2.5,6,230,3,SW
04-12-2024,23,29.2,26,85,25,-,5,220,3,SW
05-12-2024,24.2,32.2,27.4,84,7,-,7,260,4,W
06-12-2024,23.6,30.4,26.8,85,4,4.3,5,260,2,SW
07-12-2024,24.6,31.5,27.7,84,0,-,6,330,2,E
08-12-2024,23.6,32.2,27.4,87,75,2.3,3,300,1,W
09-12-2024,24.5,28.6,26,91,8888,3.2,5,240,2,SW
10-12-2024,23.2,30,27.3,83,25,-,6,220,4,SW
11-12-2024,26,33.2,29.4,73,9999,-,4,230,3,SW
12-12-2024,24.1,33.4,29.4,69,0,4.3,8,260,3,SW
13-12-2024,25.2,33,29.7,65,-,4.4,7,280,4,SW
14-12-2024,24.4,32.4,27.6,77,-,7.1,7,230,4,SW
15-12-2024,26,31.4,27.2,81,0,-,5,280,2,SW
16-12-2024,24.4,30.3,27.2,84,44,0.2,4,260,2,SW
17-12-2024,24.6,32,27.3,82,17,1.1,4,280,2,SW
18-12-2024,24.9,32.4,27.8,78,1,2.5,5,230,3,SW
19-12-2024,23.4,30.6,27.2,84,4,5.5,5,310,3,W
20-12-2024,23.5,31.1,27.9,81,37,3.6,6,320,2,W
21-12-2024,24.6,30.4,27.7,85,11,5.1,6,290,3,W
22-12-2024,24.2,31,27.6,86,15,1.3,5,300,2,NW
23-12-2024,23.4,29.5,26.2,93,9999,3.3,5,310,1,SW
24-12-2024,23.8,30.7,27.2,83,49,0.3,4,290,2,SW
25-12-2024,24.4,29.9,27.1,88,5,0.8,5,320,2,NW
26-12-2024,24.2,31.6,28,80,4,0.1,3,270,2,W
27-12-2024,24,32,28,82,2,0.7,4,300,2,W
28-12-2024,24.6,32.5,28.9,75,-,7.4,4,310,2,W
29-12-2024,25,31.4,28.3,80,-,6.1,6,220,3,W
30-12-2024,24.2,31.1,27.1,80,2,3.9,6,230,3,SW
31-12-2024,22.8,31.5,27.9,77,15,3.2,5,300,3,SW
,,,,,,,,,,
,,,,,,,,,,
