TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2024,24.8,31.4,28.8,83,20,2.4,3,30,2,NE
02-05-2024,26.2,33.2,29.1,79,0,0.6,6,20,2,NE
03-05-2024,25.4,33.7,29.2,76,0,5.9,4,350,2,S 
04-05-2024,25.6,33.6,28.8,75,0,7.5,4,40,2,S 
05-05-2024,24.5,33.5,29.7,71,-,3,4,20,2,S 
06-05-2024,25,33.3,29,74,0,7.4,3,60,2,S 
07-05-2024,25,33.4,29.2,73,8888,4.5,6,40,2,NE
08-05-2024,24.8,33,28.6,75,0,8.9,5,50,2,S 
09-05-2024,23.4,32.8,29.6,72,-,5.6,4,80,2,E 
10-05-2024,26,33.2,29.9,76,0,8.2,5,40,3,E 
11-05-2024,26,33.2,29.4,78,0,9.1,5,50,2,E 
12-05-2024,25.2,33.6,30,73,1.2,-,7,60,3,E 
13-05-2024,25.6,33.2,29.1,78,-,7,4,50,2,S 
14-05-2024,25.6,29.7,27.5,85,0,4.5,5,350,2,S 
15-05-2024,25.4,32.5,29.2,76,0.3,0,6,40,2,NE
16-05-2024,25.4,33.2,29.2,74,0,5.5,4,50,2,NE
17-05-2024,25,33.5,29,75,0,4.3,4,90,2,S 
18-05-2024,24.4,33.5,29,75,0,6.8,4,70,2,S 
19-05-2024,24.7,33.2,29.7,71,0,7.7,3,260,2,E 
20-05-2024,24.4,33.8,29.3,73,0,8,4,60,2,E 
21-05-2024,24.6,33.4,29.5,73,-,0,5,30,2,S 
22-05-2024,24.6,32.8,29.8,74,0,8.9,3,50,2,NE
23-05-2024,26.9,30.9,27.8,83,0.2,0.9,6,290,2,S 
24-05-2024,25,33.1,28.5,80,0,0,4,70,2,NE
25-05-2024,24.5,29.2,26.6,87,19.2,7.6,3,110,2,E 
26-05-2024,24.8,31.5,28.4,80,7.4,0,5,30,2,NE
27-05-2024,25,33.2,29,77,0,1.1,5,50,2,NE
28-05-2024,25,33.4,29.7,76,0,8.4,4,20,2,E 
29-05-2024,24,33,29.5,77,8888,7.3,4,80,2,NE
30-05-2024,25.8,33,29.2,76,0,7.4,3,350,2,E 
31-05-2024,25.3,33.4,28.8,77,0,5.9,5,30,2,NE
,,,,,,,,,,
,,,,,,,,,,
