TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2024,24.8,32.5,28.5,80,0,7.4,3,360,2,S 
02-06-2024,24.8,33.4,28.8,79,0,0,5,30,2,NE
03-06-2024,24.8,32,27.6,86,10,0.8,3,280,2,S 
04-06-2024,25,32.7,28.6,78,0,0,3,100,2,S 
05-06-2024,24.4,33.6,28.9,73,0,4.9,3,290,1,S 
06-06-2024,24.6,33.4,28.8,73,0,7,4,330,2,NE
07-06-2024,24.7,33.3,28.4,76,18.6,10.2,4,30,2,S 
08-06-2024,24.4,33,29.2,75,0,9.2,6,40,3,SE
09-06-2024,24.4,32.2,28.1,78,0,7.8,3,100,2,S 
10-06-2024,24.6,33,29.5,76,0,2.5,4,50,2,NE
11-06-2024,25.2,33.2,27.8,82,0,8.7,4,200,2,S 
12-06-2024,24.6,32.5,27.9,79,9,3.9,5,50,2,S 
13-06-2024,24.6,31.8,28.3,78,0,6,3,50,2,NE
14-06-2024,25,32.6,28.8,76,0,4,4,60,2,NE
15-06-2024,24.6,34,28.3,80,0,8.8,5,300,2,NE
16-06-2024,23.8,31.2,27.6,84,114,5.1,3,280,1,W 
17-06-2024,24.6,32.4,28.8,76,0,3.4,4,50,2,NE
18-06-2024,24.6,32.5,27.7,80,0,7.6,3,200,1,S 
19-06-2024,24,32.8,28.8,73,-,2.1,5,50,3,E 
20-06-2024,23.8,32.4,28.1,71,0,8.7,4,70,2,E 
21-06-2024,23,33.1,28.8,72,0,8.5,5,20,2,E 
22-06-2024,24.4,32.6,27.9,74,0,8,3,60,2,NE
23-06-2024,22.3,32.7,28.4,67,0,0,4,60,2,S 
24-06-2024,24,32.4,28.4,76,-,8.4,5,60,2,E 
25-06-2024,24.6,30.5,26.7,84,0,5.5,3,70,2,S 
26-06-2024,23.1,32.2,28.9,78,8888,0.7,5,40,3,E 
27-06-2024,23,32.6,28.7,79,0,10.4,6,50,3,E 
28-06-2024,24.3,32.4,28.3,82,4.8,10,4,50,2,NE
29-06-2024,24.8,31,26.2,86,12,7.6,4,150,2,S 
30-06-2024,22.4,31.6,27.9,79,42.8,0.8,5,20,2,SW
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
