TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2020,24.5,32.4,27.5,82,0,4.6,5,70,2,E 
02-06-2020,25.2,32.5,28.7,76,0,6,5,70,2,NE
03-06-2020,24.2,32.3,28,76,0,9.2,7,50,3,E 
04-06-2020,24.2,33.2,28.1,76,5,7.4,8,120,4,E 
05-06-2020,24.6,32.2,27.8,81,0,9,3,350,1,SW
06-06-2020,23.8,32.8,27.6,78,0.3,0,3,350,1,N 
07-06-2020,24.4,32.7,28.5,76,0,3.2,5,30,2,NE
08-06-2020,25.2,32.6,28.5,80,0,5.3,6,80,2,S 
09-06-2020,24.6,32,27.4,74,1,9.5,7,30,2,E 
10-06-2020,24,33,28.3,82,0,3,5,50,3,E 
11-06-2020,25.2,33.2,29,76,0,9.8,5,60,3,NE
13-06-2020,24.6,33.6,28.2,76,0,9.5,5,30,2,NE
14-06-2020,24.3,33.8,27.9,78,0,8.5,6,40,3,E 
15-06-2020,24.3,32.1,28.9,80,0,8.8,5,50,2,E 
16-06-2020,26.2,32.8,29.3,76,0,0,7,60,4,E 
17-06-2020,25,33.8,28.8,75,0,7.2,6,50,2,NE
18-06-2020,25.4,33.2,28.6,78,0,9,5,70,2,NE
19-06-2020,-,31,27.1,84,-,4.4,3,80,2,SW
20-06-2020,24,33.8,28.1,75,1,0,5,50,2,NE
21-06-2020,23.8,33.2,27.8,80,0,8.9,5,30,2,NE
22-06-2020,25.2,-,27.4,83,0.2,3,5,60,2,NE
23-06-2020,23.8,31.5,27.1,84,3.5,2,6,60,2,SW
24-06-2020,23.4,32,27.1,81,0,3,5,340,2,SW
25-06-2020,23.6,33.8,27.5,80,0,2.8,5,50,2,SW
26-06-2020,23.8,32.2,27.6,80,0,8.5,4,10,2,S 
27-06-2020,24.6,32.5,28.2,78,0.6,8,6,60,3,E 
28-06-2020,24.8,32.6,28.1,73,-,7.4,6,60,3,NE
29-06-2020,25.2,33.4,28.6,72,0,5.8,6,80,3,E 
30-06-2020,23.5,33.3,27.9,78,0,8.4,6,60,2,E 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
