TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2020,23.3,33,28.2,66,0,9.8,4,50,2,SW
02-09-2020,-,31.9,27.8,74,0,8.3,4,200,2,S 
03-09-2020,23.6,32.6,27.5,79,5.3,4.4,6,70,2,NE
04-09-2020,24.5,33,28.4,75,0,3.6,8,50,3,NE
05-09-2020,24.4,33.2,28,76,0,7.5,6,330,2,S 
06-09-2020,23,33,28.1,74,0,7.7,5,30,2,N 
07-09-2020,23.5,33.3,28.8,68,0,5.3,7,330,2,E 
08-09-2020,25.2,32.6,29.2,65,0,9.4,6,60,3,E 
09-09-2020,26,32.8,28.9,70,0,9.3,8,40,3,NE
10-09-2020,24.8,33,27.9,74,0,7,5,310,2,SW
11-09-2020,23.6,32.2,28.4,73,0,5,18,230,3,NE
12-09-2020,24.2,33.1,28.7,73,0,1.6,4,350,2,NW
13-09-2020,24,33.6,28.7,68,0,5.7,4,10,2,S 
14-09-2020,24.9,32.4,27.3,77,0,6.3,5,50,2,S 
15-09-2020,23.8,32.6,27,78,17,1.7,4,200,2,S 
16-09-2020,22.8,32.2,27.9,68,11.6,6.5,5,40,2,NE
17-09-2020,22.8,32.5,27.6,71,0,9.8,7,60,3,NE
18-09-2020,23.1,32.4,28.4,74,2.3,9,5,30,3,NE
19-09-2020,24.4,33.8,29.6,66,0,9,9,70,4,E 
20-09-2020,-,-,-,90,1,8.3,6,30,2,E 
21-09-2020,22,32.2,27.1,80,51.7,8.5,5,40,3,S 
22-09-2020,22,32.6,26.3,83,23.2,7,5,210,2,SW
23-09-2020,22.8,33,27.7,76,10.5,4,5,40,2,SW
24-09-2020,23.5,33.4,28.7,75,0,10.2,4,30,2,N 
25-09-2020,24,33.2,28.5,73,0,8.3,5,60,2,NE
26-09-2020,24,33.2,28.2,72,0,6,3,340,2,SW
27-09-2020,-,31.8,27.6,75,8888,4,5,330,2,SW
28-09-2020,23.6,33.4,28.2,72,0,5.5,5,50,3,NE
29-09-2020,24.1,32.6,28.2,69,0,8.9,5,40,2,S 
30-09-2020,23.6,33,28.8,71,0,7.5,6,50,3,NE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
