TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-02-2020,24,29.1,25.5,92,111,4,5,300,2,SE
02-02-2020,24,29.6,25.8,92,11.4,0.6,3,40,1,S 
03-02-2020,22.6,28.4,25.8,92,5.3,0.8,2,60,1,S 
04-02-2020,24.4,29.6,26.4,89,25.9,0.3,4,300,2,NW
05-02-2020,24.1,30.5,27.1,84,19.7,3,4,350,2,NW
06-02-2020,25,28.9,26.4,89,8888,1.7,5,290,2,W 
07-02-2020,24.5,30,26,92,0.5,0,3,340,2,NE
08-02-2020,24.2,30.3,26.6,83,39.8,0.5,4,330,2,N 
09-02-2020,23.7,30.6,26.1,85,9.1,6.5,5,300,2,W 
10-02-2020,24.5,33.8,28.2,72,11,1.2,7,250,3,W 
11-02-2020,24.4,34,28.7,74,0,7.5,5,270,3,SW
12-02-2020,25.5,31.6,28.2,76,0,7.5,5,20,2,NE
13-02-2020,23.5,31.2,27.7,83,0,6.5,3,30,2,NW
14-02-2020,25.2,30.2,27,88,0,2.2,5,310,2,N 
15-02-2020,-,31.8,27.7,84,1.6,3.1,7,280,2,S 
16-02-2020,24,31.2,25.6,91,0,7,8,240,3,SW
17-02-2020,24.5,32.5,27.7,83,57.9,1,4,280,2,W 
18-02-2020,-,31,27,84,41.5,0.8,4,340,2,SW
19-02-2020,24.5,30.6,27.2,82,1,7.3,6,290,3,NW
20-02-2020,24.4,30.2,26.9,87,34.4,2.5,5,300,2,NW
21-02-2020,24,31.4,27.7,81,51.6,2,5,330,2,NW
22-02-2020,25,31.4,27.9,83,39.1,8.7,6,300,3,NW
23-02-2020,22.6,31.8,28.4,80,9.6,8.7,6,330,4,NW
24-02-2020,-,31,28.7,77,0.3,8.2,6,330,4,N 
25-02-2020,24.7,31,27.4,86,99.6,7.5,4,300,2,W 
26-02-2020,-,31.1,27.3,84,3.5,0.7,5,320,2,N 
27-02-2020,24.6,31.2,27,86,40,5.9,4,320,2,NE
28-02-2020,24.6,31.4,27.6,85,8.3,2.1,6,330,2,S 
29-02-2020,-,29.2,27,89,0.2,6,4,270,2,W 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
