TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2020,24,33.7,28.1,76,0,9,5,70,2,S 
02-07-2020,24,31,26.8,82,0,7.8,6,320,2,N 
03-07-2020,24.2,33,27.6,80,1.5,3,4,100,2,E 
04-07-2020,-,31.5,27.9,76,-,3,7,80,3,E 
05-07-2020,25.5,33.2,28.6,66,0,1.8,6,80,4,E 
06-07-2020,23.5,33.4,28,72,0,10.8,8,60,3,E 
07-07-2020,24,32.7,27.6,80,0.3,9.9,8,70,3,E 
08-07-2020,-,32.5,28,76,-,-,4,80,2,SW
09-07-2020,-,32.9,26.8,81,-,5.7,4,350,2,S 
10-07-2020,23.4,32.1,27.1,79,0,2.9,3,350,2,N 
11-07-2020,23.7,32.2,27.3,82,5,0.3,5,60,2,NE
12-07-2020,24.2,33,28,78,0,9,4,20,2,NE
13-07-2020,24.6,32.1,27.5,80,0,8.5,5,80,2,E 
14-07-2020,24.8,32.5,28.3,78,8888,3.6,7,60,3,E 
15-07-2020,24.2,31,27.1,77,7.9,3.7,6,120,4,E 
16-07-2020,24.7,31.2,27.8,80,0,0.6,5,70,2,E 
17-07-2020,-,33,28,78,0.3,0.4,5,90,2,N 
18-07-2020,24.5,32,27.5,82,4.2,9,5,50,2,NE
19-07-2020,24.2,33,27.8,78,0,6,6,40,2,S 
20-07-2020,24,32.7,27.6,78,0,9,5,60,2,SW
21-07-2020,24,33,27.6,79,0,7.2,4,30,2,E 
22-07-2020,24.2,32.8,27.8,80,0,7.7,6,80,2,SW
23-07-2020,24.3,33,28.1,78,0,9.5,4,360,2,N 
24-07-2020,24.8,33.3,28.1,76,-,-,6,60,3,E 
25-07-2020,-,33.6,27.8,74,-,8.2,4,50,2,NE
26-07-2020,24,32.6,27.3,66,0,7.9,8,40,3,E 
27-07-2020,21.6,33,27,72,0,9.6,6,70,2,S 
28-07-2020,22,33,27.1,74,0,9.5,4,20,2,S 
29-07-2020,22.5,33.2,27.2,70,0,8.4,5,340,2,N 
30-07-2020,23.4,32,27.3,72,0,8.3,4,350,2,S 
31-07-2020,23.2,32.4,27,59,0,3.1,5,70,2,SW
,,,,,,,,,,
,,,,,,,,,,
