TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2020,21.3,32.4,26,71,0,2.6,3,360,2,SW
02-08-2020,20.8,33.2,27,73,0,9,4,10,2,N 
03-08-2020,23.1,32.6,27.7,74,0,8.3,5,40,3,NE
04-08-2020,24.4,33,28.5,72,0.2,8.5,5,50,2,NE
05-08-2020,23.6,32.9,27.3,76,0,2.2,4,310,2,E 
06-08-2020,23.9,33,28,77,0,6.6,5,80,2,NE
07-08-2020,24,32.8,27.7,81,0,5,4,40,2,NE
08-08-2020,-,31.3,27.5,83,32.4,7.9,4,50,2,NE
09-08-2020,23.9,32.6,27.6,82,11.5,3.2,4,90,2,SE
10-08-2020,24.3,32.4,28,81,0.6,9,6,40,3,E 
11-08-2020,25,33.2,28.3,76,0,8.8,5,60,2,S 
12-08-2020,24.6,33.2,28,78,0.1,6.5,6,80,3,E 
13-08-2020,-,31.3,26,87,-,7.1,5,100,2,S 
14-08-2020,22.4,-,26.6,84,70.4,2,4,90,2,S 
15-08-2020,23.5,32.2,27.2,82,0,4.6,8,60,3,NE
16-08-2020,23.3,34,27.8,80,0,8.3,6,60,2,SW
17-08-2020,22.9,33.2,27.5,80,30.5,8.2,6,50,2,NE
18-08-2020,-,31.8,27.2,80,9.6,9.3,5,50,2,S 
19-08-2020,22.4,33.2,27.2,81,0.6,5.4,5,40,3,NE
20-08-2020,24.2,31.8,28.1,78,0.2,8.7,8,60,4,E 
21-08-2020,24.4,32,28.2,72,0,7.9,6,100,4,E 
22-08-2020,22.4,32.8,28,64,-,11,8,80,3,E 
23-08-2020,23.2,32.4,27.6,76,0,9.9,7,60,3,E 
24-08-2020,-,32.2,27.8,75,-,10.3,6,80,3,E 
25-08-2020,22.5,34,27.5,70,0,8.7,10,70,4,E 
26-08-2020,23.3,32.4,27.2,74,0,9.7,8,60,3,NE
27-08-2020,22.8,32.8,28,66,-,10,6,50,2,NE
28-08-2020,-,33,28,66,-,10.4,8,50,3,E 
29-08-2020,23.9,33.4,28.5,71,-,-,6,70,3,E 
30-08-2020,24,34.2,28.2,75,0,7.5,7,50,3,E 
31-08-2020,23.8,33.4,28.2,73,0,-,7,60,3,NE
,,,,,,,,,,
,,,,,,,,,,
