TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2020,24.6,34.4,28.1,79,0.4,-,5,320,2,NW
02-04-2020,24.8,33.8,29.2,74,0,6.5,5,300,3,W 
03-04-2020,24.4,33.2,28.6,77,0,9.5,5,240,2,W 
04-04-2020,25.1,31.9,28.7,78,0,8.2,6,350,2,SW
05-04-2020,25.5,33.2,27.2,84,8888,5.4,7,240,2,SW
06-04-2020,25.4,32.6,27.5,83,6.3,6.5,5,260,2,W 
07-04-2020,25.1,32.7,28.1,80,10.3,4.8,7,300,3,W 
08-04-2020,25.2,32.2,27.9,81,0,8.6,5,20,2,N 
09-04-2020,25.5,32.1,28.2,82,0.1,8.5,4,30,2,N 
10-04-2020,25.2,33.2,27.6,85,0,2.5,4,270,2,SW
11-04-2020,25.2,34.4,28.7,80,4,5,3,190,2,S 
12-04-2020,25.3,33.1,28.8,81,0,3.1,5,30,2,N 
13-04-2020,25.2,32.2,27.8,86,2.6,8.5,4,80,2,E 
14-04-2020,25.1,31.6,28,84,2,4.1,5,30,2,N 
15-04-2020,25.2,32,27.8,84,8888,6.2,4,340,2,S 
16-04-2020,24.6,32.4,28.5,79,0,3,4,360,2,N 
17-04-2020,25,33.3,29.1,77,0,8.5,4,340,2,SW
18-04-2020,23.9,33.6,27.8,80,-,10.2,5,320,2,S 
19-04-2020,23.8,34.2,28.3,81,0,5,4,20,2,N 
20-04-2020,25.2,32.8,29.7,76,8888,8.9,5,60,2,NE
21-04-2020,25.9,32.2,28.8,79,-,10.5,4,60,2,E 
22-04-2020,24.8,34,28.9,78,8888,0,6,50,3,E 
23-04-2020,-,33.2,29.2,82,-,10.1,7,40,3,NE
24-04-2020,25.8,31.9,28.7,76,0,7.3,6,50,3,NE
25-04-2020,23.9,33,27.7,79,0,4.8,5,60,2,NE
26-04-2020,23.8,33,28.4,81,-,3.5,5,50,2,S 
27-04-2020,25.4,32.2,27.4,85,2.5,6.3,4,180,2,SW
28-04-2020,24.6,31.2,27.2,84,3.8,2.4,4,30,2,S 
29-04-2020,23.9,31.6,27.5,83,0,2.8,6,320,2,S 
30-04-2020,25.7,31.8,27.7,86,0,5.3,5,160,2,S 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
