TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2020,25,31.2,27.9,84,2,1,4,20,2,W 
02-05-2020,23.9,29,25.9,86,2,0,4,200,2,S 
03-05-2020,23.9,32.5,28.6,81,0.7,0,6,60,3,E 
04-05-2020,26.2,29.8,27.9,83,1,6.4,5,50,3,E 
05-05-2020,25.1,32.8,28.8,80,6,0.9,6,60,3,NE
06-05-2020,25.2,32.6,28.6,83,1.2,9,5,50,2,S 
07-05-2020,25,33.5,28.8,79,0,5,5,40,2,E 
08-05-2020,25.2,34,28.4,81,0,9.9,4,60,2,SW
09-05-2020,25.2,31,27.4,85,0.4,4.8,3,60,2,SW
10-05-2020,25.4,33,28.2,82,0.8,0,5,50,2,SW
11-05-2020,25.3,33.4,28.7,80,0,8,6,80,2,S 
12-05-2020,25.2,33.2,29,78,0,7,5,50,2,E 
13-05-2020,25.5,31.8,28.1,88,34.5,8.5,6,40,3,E 
14-05-2020,25.4,32.2,28.6,79,3,2.6,5,70,3,E 
15-05-2020,24.9,32.6,28.3,79,0,7.3,8,80,4,E 
16-05-2020,24.6,33,28.6,76,0,9.5,6,60,3,E 
17-05-2020,24.6,33.6,28.5,79,0,9.7,3,340,2,N 
18-05-2020,25.2,30.5,26.8,86,0.2,8.4,7,60,2,S 
19-05-2020,23.6,32.6,27.7,85,17.7,5.2,5,50,2,E 
20-05-2020,24.7,32.8,28,85,0,4.8,9,330,4,NE
21-05-2020,24.5,34.2,28.4,80,15.4,8.5,4,320,2,SW
22-05-2020,25,33.1,28.9,84,0,2.5,5,40,3,NE
23-05-2020,-,34.4,28.7,77,3.6,9.4,5,289,2,S 
24-05-2020,24.5,34.5,29.9,72,0,8.3,6,260,3,SW
25-05-2020,25.3,35,30.3,70,0,8.5,6,240,3,SW
26-05-2020,23.4,33.6,28.2,79,0,9.5,5,250,3,W 
27-05-2020,25.4,32.8,28.4,76,0,4.4,4,320,2,W 
28-05-2020,-,33.7,28.4,80,0,2.2,4,40,2,N 
29-05-2020,25.2,32.7,28.4,83,13,2.9,4,40,2,S 
30-05-2020,24.3,32.4,27.9,80,0,5.5,6,60,2,S 
31-05-2020,25.1,33,28.4,79,0,9.3,3,60,2,SW
,,,,,,,,,,
,,,,,,,,,,
