TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-11-2020,24,33,26.3,88,3.8,4.8,8,270,4,SW
02-11-2020,25,30.9,27.3,78,2.7,4.8,9,240,4,W 
03-11-2020,22.6,33,28.1,75,0,3.3,4,340,3,SW
04-11-2020,23.9,33.3,28.6,70,0,9.4,3,360,2,SW
05-11-2020,23.8,29,26.3,86,1,4,5,250,2,W 
06-11-2020,24.2,30.2,26.3,91,6,0,5,40,2,SW
07-11-2020,23,32.4,28,82,5.5,0.4,8,30,3,NE
08-11-2020,23.4,32.6,27.6,79,0,6.3,7,40,2,S 
09-11-2020,22.6,33.6,28.5,72,-,7.8,4,60,2,NE
10-11-2020,23.4,33.2,28.5,79,0,8.7,5,360,2,S 
11-11-2020,23.6,33.4,29,69,0,3.7,6,40,3,NE
12-11-2020,25,33.7,29.2,77,0,9,8,60,3,E 
13-11-2020,25.8,33.4,30.1,74,0,5.9,6,50,3,NE
14-11-2020,24.6,34,29.9,74,0,11,4,70,2,S 
14-11-2020,24.6,34,29.9,74,0,11,4,70,2,S 
15-11-2020,25.9,33.6,29.6,70,0,8.8,7,40,3,E 
16-11-2020,25,34.8,29.9,72,-,7.1,11,80,4,SW
17-11-2020,24.6,32.4,28.6,79,0,7,4,310,2,S 
18-11-2020,24.6,32.6,28.5,74,0.2,-,3,50,2,SW
19-11-2020,24.4,34.2,29.4,74,0,3.4,5,60,2,NE
19-11-2020,24.4,34.2,29.4,74,0,3.4,5,60,2,NE
20-11-2020,-,32.8,28.7,76,0,7.8,7,60,3,SW
21-11-2020,24.2,33,28.6,76,0,4.5,5,40,2,S 
22-11-2020,23.9,33.1,27.8,74,-,8.8,6,240,2,SW
23-11-2020,25,31.2,26.8,83,0.2,3.6,7,250,3,SW
24-11-2020,24.4,33.2,28.1,71,0.6,0.6,8,250,4,W 
25-11-2020,24.2,34.6,29.3,70,0.1,6.5,10,260,3,W 
26-11-2020,23.2,34.8,29,70,8888,6.6,6,250,3,W 
26-11-2020,23.2,34.8,29,70,8888,6.6,6,250,3,W 
27-11-2020,24.4,34.9,29.1,68,0,8.2,7,230,3,W 
28-11-2020,23.4,34.6,28.2,73,1.5,2.8,6,250,3,W 
29-11-2020,25,33.6,27.3,78,0,4.3,10,260,5,W 
30-11-2020,23.4,31.2,26.9,81,4.3,1.3,6,240,4,SW
