TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-10-2020,24.8,32.8,28.8,76,0,10.7,7,60,3,SW
02-10-2020,23.8,33.3,27.7,78,-,8.7,5,340,2,SW
03-10-2020,24.2,30.4,26.6,86,5.9,6.7,3,230,2,SW
03-10-2020,24.2,30.4,26.6,86,5.9,6.7,3,230,2,SW
04-10-2020,23,32.6,28,78,7.8,0.3,6,180,3,S 
05-10-2020,22,33.3,28,72,32.5,7.4,3,190,2,S 
06-10-2020,22.8,32.8,28,72,0,10,5,30,2,S 
07-10-2020,23.6,33.2,28.2,72,0,9.8,5,20,2,S 
08-10-2020,24.5,33.6,28.8,72,0,9.9,4,350,2,S 
09-10-2020,24,30.6,27.3,80,7.2,4.4,4,20,2,SW
10-10-2020,24.2,31.7,27.8,79,0.2,0.7,4,60,2,S 
11-10-2020,23.2,31.8,27.5,84,50,3,3,60,2,SW
12-10-2020,23.5,33.6,28.5,76,-,0,3,320,2,SW
13-10-2020,24.6,33.4,28.8,75,0,5.7,4,330,2,NE
14-10-2020,23.5,-,28.9,75,0,6.6,5,350,2,SW
15-10-2020,24.6,33.3,28.5,75,0,6.9,4,320,2,SW
16-10-2020,24.8,33.4,27.1,82,0,8.5,6,120,2,SW
17-10-2020,24.2,32.3,28.7,76,3.8,3.3,6,40,2,S 
18-10-2020,25.2,32.4,28.8,74,0,9.3,4,70,2,S 
19-10-2020,24.9,32,27.6,80,0,6.7,6,190,2,S 
20-10-2020,23.8,32.2,28,78,0,5,6,40,3,S 
20-10-2020,23.8,32.2,28,78,0,5,6,40,3,S 
21-10-2020,24.8,32.8,27.4,81,0,8.5,4,200,2,S 
22-10-2020,24,32.4,28.2,76,0.9,5.5,8,260,5,SW
23-10-2020,25.2,33.6,29.2,69,-,3.6,7,240,3,W 
24-10-2020,23.8,33,28.3,72,0,6.7,6,190,3,S 
25-10-2020,23.2,32.7,27.6,81,0,9.9,5,240,2,SW
26-10-2020,23.2,33,26.3,86,0,4.5,5,240,2,SW
27-10-2020,23.8,31.4,26.9,82,5.1,3,3,260,2,SE
28-10-2020,23.4,32.8,28.4,77,8888,0.7,5,40,2,S 
29-10-2020,24.4,32.8,29,76,0,5.2,5,60,3,NE
30-10-2020,24.2,-,28.6,76,0,10.6,8,60,3,E 
31-10-2020,23.8,32.6,27.7,78,0,5,4,320,2,S 
