TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2022,22.4,31.8,27,77,8888,9.7,6,50,3,S 
02-07-2022,24,32.4,27.8,78,0,9.5,4,320,2,SW
03-07-2022,24.2,31.9,28.1,83,1,3.9,7,40,2,E 
04-07-2022,20.5,31.9,28.7,76,14.8,5.2,7,80,4,E 
05-07-2022,24.1,33.2,28.2,79,0,10.4,4,60,2,NE
06-07-2022,23.2,29.8,25.5,89,10.2,10.2,3,60,1,NE
07-07-2022,-,32.1,27.5,82,1,0.6,3,40,2,SW
08-07-2022,24.2,33.7,28.2,78,0,6.9,3,220,2,SW
09-07-2022,22,32.4,26.3,78,0,8.8,4,360,2,S 
10-07-2022,-,31.6,26.6,74,-,9,5,50,2,S 
11-07-2022,-,31.8,27.1,76,0,10.2,4,70,2,E 
12-07-2022,23.4,31.5,27.5,81,0,5.9,7,50,3,NE
13-07-2022,24.4,31.4,26,88,0,4,3,40,2,SW
14-07-2022,23.6,31.6,27.1,84,25.2,1,6,50,3,E 
15-07-2022,20.2,32,27.5,81,0,6.5,5,60,3,SW
16-07-2022,-,29,25,87,40.1,8.7,5,210,2,SW
17-07-2022,22.6,31.4,26.8,81,8.6,0.5,8,50,3,E 
18-07-2022,23.2,32.8,27.1,82,0,1.2,3,340,2,E 
19-07-2022,23.8,32.4,27.3,82,0,5.5,6,70,2,E 
20-07-2022,-,31.9,27.5,82,-,8.5,4,80,2,NE
21-07-2022,23.4,32.7,27.5,80,0,5.8,3,360,1,SW
22-07-2022,23.8,32,27.2,84,-,6.4,5,70,2,E 
23-07-2022,23.7,32.2,28,78,0.4,3.1,5,50,2,NE
24-07-2022,23.6,32.3,27.3,80,0,9.3,5,350,2,NE
25-07-2022,23.4,31.8,27.6,81,8.4,10,3,20,2,E 
26-07-2022,23.6,31.3,26.9,80,0,4.3,5,30,2,E 
27-07-2022,23.4,32,27.2,76,-,5.8,4,70,2,E 
28-07-2022,23.4,32.4,28.1,74,0,4.6,6,70,3,E 
29-07-2022,24.9,32.4,28.4,75,0,8.6,7,60,3,E 
30-07-2022,23.2,31.5,27.2,83,0,9.3,4,80,2,NE
31-07-2022,23.9,32.2,27.9,81,0,9.4,7,60,4,E 
,,,,,,,,,,
,,,,,,,,,,
