TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2022,24.2,32.2,28.2,74,0.8,6.8,7,250,3,W 
02-01-2022,24.4,32.9,27.8,78,0,4.7,5,240,3,W 
03-01-2022,22.1,34.5,28,72,0,4.6,6,250,3,W 
04-01-2022,21.9,32.4,27.7,74,0,9.2,3,20,2,SW
05-01-2022,23.4,33.2,28.1,76,0,6,6,290,2,N 
06-01-2022,22.8,32.5,28.1,82,3.2,7.6,4,290,2,SW
07-01-2022,23.4,33.8,28.2,74,12.4,1.8,7,300,3,SW
08-01-2022,23.6,32.4,28.3,78,5.5,6.4,5,290,3,W 
09-01-2022,23.8,31.6,28.4,78,8888,7.4,5,320,3,W 
10-01-2022,24.2,31.3,26.8,87,0,4.6,5,310,2,W 
11-01-2022,23.6,31.6,26.4,88,37.6,1.4,5,290,2,W 
12-01-2022,23.4,31,26.2,88,34.8,4.3,8,290,3,S 
13-01-2022,22.8,30.2,26.9,83,10.4,5.1,7,330,2,NW
14-01-2022,23,29.4,26.4,86,10.2,0.6,4,320,2,NW
15-01-2022,23.4,29.5,26.2,88,10.1,1.2,5,320,2,NW
16-01-2022,22.2,29.2,26.7,90,0,1.1,5,320,2,NW
17-01-2022,24.2,32.4,27.7,85,2.5,0,5,300,3,NW
18-01-2022,24.3,29,26.1,94,17,5,8,310,3,NW
19-01-2022,22.4,30,27.1,85,150.6,0,8,260,3,NW
20-01-2022,23.1,29.8,25.6,86,0.8,8.1,4,290,2,SW
21-01-2022,23.2,30.8,27.1,81,6.9,1,5,240,2,W 
22-01-2022,22.5,31,26.4,83,60.6,6.7,4,300,2,W 
23-01-2022,22.4,32.8,28.5,74,0.7,3.9,6,320,3,W 
24-01-2022,22.6,33.5,28.6,72,0,9,6,270,4,SW
25-01-2022,25.2,31.8,28.2,79,0,10.4,6,280,3,NW
26-01-2022,24.2,30.8,26.4,83,2.9,7.2,4,290,2,W 
27-01-2022,23.6,31.4,27.6,80,4,0,7,310,3,NW
28-01-2022,24.2,32,27.4,88,3,7.8,6,320,2,W 
29-01-2022,23.5,30.6,27.2,82,0.2,6.2,4,330,2,NW
30-01-2022,23.2,32,27.3,81,0,2,5,290,2,W 
31-01-2022,22.6,30.6,27.2,73,0,5.3,5,330,2,N 
,,,,,,,,,,
,,,,,,,,,,
