TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2022,22.6,32.6,27,82,2.2,2,5,360,2,SW
02-12-2022,23.6,31.2,27.1,82,2.2,8.3,4,40,2,W 
03-12-2022,21,32.2,27.4,76,-,1.7,3,360,2,S 
04-12-2022,24.2,32.6,28.1,78,0.2,5.8,3,10,2,SW
05-12-2022,23,32.2,27.6,80,0,2.3,5,230,2,SW
06-12-2022,22.8,31.5,27.3,82,0,5.1,3,80,2,N 
07-12-2022,23.5,31.5,27.5,80,0,3.2,5,260,2,SW
08-12-2022,22.2,33.7,28,76,1.5,1.5,5,230,2,W 
09-12-2022,23,31.6,26.8,83,0,4.7,8,240,3,SW
10-12-2022,21.8,34,28.7,70,10.2,3.6,5,280,3,SW
11-12-2022,22.6,32,28.1,72,-,8.2,6,260,4,W 
12-12-2022,24,33.7,28.5,72,0,3.4,6,260,4,W 
13-12-2022,23.8,31.8,27.3,74,0,8,7,230,4,SW
14-12-2022,24.6,32.2,28.2,76,0,5.9,5,230,3,SW
15-12-2022,22.5,34.1,29.4,66,0,8.3,6,300,3,W 
16-12-2022,-,32,27.8,77,-,9.9,5,320,2,S 
17-12-2022,23.5,34,27.3,85,0,3.5,5,300,2,SE
18-12-2022,22.6,32.6,27.6,85,3,7,5,320,2,NW
19-12-2022,23.2,32.6,28.3,78,0,5.4,5,350,2,N 
20-12-2022,23,31,28.1,76,0,7.5,6,330,3,NW
21-12-2022,24,32.4,28.2,79,0,5.1,5,320,3,SW
22-12-2022,23.8,31.8,27.5,82,0,5.9,5,290,3,W 
23-12-2022,23.2,29.8,26.7,85,13.6,1,5,300,2,NW
24-12-2022,23.5,30.8,28,78,0.2,0.1,5,310,3,SW
25-12-2022,23.2,29,25.5,90,1.4,4,4,310,2,SW
26-12-2022,23.4,28.4,26.2,89,7.8,0,4,270,2,W 
27-12-2022,22.4,29,25.7,84,8.3,-,5,230,2,SW
28-12-2022,23.8,29.7,24.7,91,0,1.2,7,240,3,W 
29-12-2022,21.8,29.8,25.8,86,36.3,1.4,4,310,2,SW
30-12-2022,23.8,28.6,25.6,90,2.8,1.4,6,300,2,W 
31-12-2022,23.2,28.8,25.4,90,5.2,0,5,310,2,NW
,,,,,,,,,,
,,,,,,,,,,
