TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2022,22.6,33.8,27.8,78,0,4.8,6,240,3,SW
02-06-2022,23.8,33.8,27.5,80,0,6.5,5,120,2,S 
03-06-2022,23.3,32.8,27.6,84,16.5,7,4,20,2,SW
04-06-2022,23.9,33,27.8,79,-,4.5,5,360,2,N 
05-06-2022,23.8,32.8,27.6,77,0,7.3,5,210,2,N 
06-06-2022,20.8,31,26.6,85,8888,3.6,4,10,2,S 
07-06-2022,23,32,26.9,84,4.8,0.4,6,60,3,NE
08-06-2022,23.5,30.5,26.8,84,13.6,3.7,4,50,1,E 
09-06-2022,23.2,30.2,25.4,91,0.6,1.7,4,30,2,SW
10-06-2022,22.7,32.1,27.1,80,27.5,0,4,250,2,S 
11-06-2022,-,31.6,27.3,86,0.6,4.1,5,40,2,SW
12-06-2022,23.6,32,26.9,83,0,2,3,270,2,SW
13-06-2022,23.2,31.9,26.6,83,8888,0,3,210,2,S 
14-06-2022,24.2,31.4,27.1,80,0,0.5,5,80,2,S 
15-06-2022,23.5,30.4,25.8,89,0,0.6,4,110,1,SW
16-06-2022,22.8,30.6,25.2,90,0.4,0.5,4,50,2,NE
17-06-2022,22.8,28.6,25.7,88,8888,0.9,4,210,2,SW
18-06-2022,21.3,30.8,26.1,83,8888,0.1,4,360,1,N 
19-06-2022,22.1,31.5,26.7,82,0,1.9,6,40,2,NE
20-06-2022,-,32,27.2,82,0,4.7,4,350,2,S 
21-06-2022,23,31.2,26.8,81,0,4,7,60,3,E 
22-06-2022,23.2,31.3,26.3,88,40,2.9,6,70,3,E 
23-06-2022,23.4,33,27.4,80,1.4,3,5,80,2,E 
24-06-2022,23.8,31.5,26.7,82,0,1.7,6,60,2,SW
25-06-2022,24,31.2,26.9,83,1,1.4,4,40,2,SW
26-06-2022,23.8,30.6,26.5,86,0,1.3,4,50,2,SW
27-06-2022,23.8,31.8,27.4,81,0,0.2,4,330,2,S 
28-06-2022,24.6,32.4,27.4,82,1,4.2,4,350,2,S 
29-06-2022,23.7,32.4,27,78,0,7.9,5,350,2,N 
30-06-2022,21.7,31.4,26.4,70,0,9.1,4,330,2,S 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
