TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-11-2022,23,33,28.3,77,0,7.8,4,350,2,SW
02-11-2022,22.5,32.4,28.1,78,-,3.5,4,40,2,S 
03-11-2022,23.8,32.2,27.5,80,2.2,6.2,3,80,2,SW
04-11-2022,24,33.8,27.9,79,-,1.6,4,140,2,S 
05-11-2022,23.3,32.5,26.3,84,17.2,6,4,220,2,SW
06-11-2022,23.4,31.5,27.2,83,0,6.6,4,10,2,N 
07-11-2022,23,31.2,26.5,89,39.6,1.8,3,220,1,SW
08-11-2022,23.4,30.3,26.3,88,0.8,3.3,3,350,1,S 
09-11-2022,21.2,31.2,27,82,17,1,4,250,2,SW
10-11-2022,23.8,31.7,27.3,83,0.5,0,5,330,2,SW
11-11-2022,25,32.2,26.7,82,4.6,0.9,7,250,4,SW
12-11-2022,24.5,32.8,25.7,90,2.8,2.8,4,290,2,SW
13-11-2022,23.8,30.8,26.5,86,40.2,3.6,4,250,2,SW
14-11-2022,22.4,33.2,27.9,79,0,0.3,4,10,2,SW
15-11-2022,-,31.6,28,78,0,7.6,7,270,3,SW
16-11-2022,23.2,32.4,27.8,80,0,1.8,7,250,3,NE
17-11-2022,23.6,28.6,25.4,90,31.7,7.2,3,250,2,SW
18-11-2022,24,32,27.7,76,6,0,6,250,2,SW
19-11-2022,23,33,28.3,76,0.2,2.9,6,270,4,W 
20-11-2022,24.8,33,28.6,74,0,7.2,7,240,4,SW
21-11-2022,24.4,33.6,28.4,74,0.2,7.1,6,240,4,SW
22-11-2022,24.8,33,28.4,73,0,8.6,7,250,4,SW
23-11-2022,20.2,33.2,28.1,76,0,8.5,5,250,2,SW
24-11-2022,23.4,33.2,27.7,76,0.5,5.5,6,240,3,SW
25-11-2022,24.2,32.2,26.2,82,0,4.5,4,50,2,SW
26-11-2022,23.4,34,27.3,82,1,2.8,7,100,2,SW
27-11-2022,23,31.5,26.7,84,0.4,1.1,3,60,2,N 
28-11-2022,25.4,31.6,26.7,83,0,5.8,5,10,2,S 
29-11-2022,22,33.4,27.9,78,27.7,3.1,4,10,2,SW
30-11-2022,24.2,32.2,27.9,75,0,8.7,3,320,2,SW
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
