TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2022,23.2,29.2,26.1,86,15.1,2.2,5,250,3,W 
02-03-2022,23.5,31.6,26.2,88,4.2,0.4,9,230,4,W 
03-03-2022,23.6,32.5,28,74,6.3,4.7,6,320,3,W 
04-03-2022,23.4,32.8,27.2,79,7.2,7.4,4,250,2,W 
05-03-2022,23.2,33,25.3,85,0,2.1,10,230,3,SW
06-03-2022,23.4,32.1,26.3,84,23,3.9,8,280,4,SW
07-03-2022,25.2,31.6,27.8,76,1.7,3.3,6,280,3,SW
08-03-2022,24.2,32.9,27.8,77,0,0.8,6,250,3,SW
09-03-2022,24.2,-,27.1,80,0,5,5,220,2,SW
10-03-2022,-,32.6,27.2,82,0,1.1,5,330,2,SW
11-03-2022,23.5,31.8,27.3,84,-,7,7,300,4,SW
12-03-2022,24.5,31.4,26.9,87,0,6.1,4,300,2,W 
13-03-2022,24.8,32,27.6,82,9,3.6,5,300,2,N 
14-03-2022,24.8,33,27.4,85,0,6.5,5,250,2,SW
15-03-2022,24.4,31,26.5,87,3.1,7,7,270,2,SW
16-03-2022,23.5,32.2,27.3,82,4.5,0,6,40,2,W 
17-03-2022,-,31.6,27,86,0,7.3,5,30,2,SW
18-03-2022,24.2,32.5,28,82,0,5.3,6,240,4,W 
19-03-2022,24,33.2,28.8,74,-,0.2,6,240,4,SW
20-03-2022,25.4,34.3,29,68,0,3.3,8,230,5,SW
21-03-2022,25,33.6,28.7,69,0,7.3,7,240,4,SW
22-03-2022,25.2,32.8,28.6,74,0,7,7,320,3,W 
23-03-2022,-,32,26.7,83,0,2.5,7,230,2,SW
24-03-2022,22.2,33.6,27.3,78,22.2,2.5,4,300,2,NW
25-03-2022,22.6,32.5,27.9,83,-,9.4,4,220,2,NE
26-03-2022,23.6,30,25.5,94,0,4.3,5,270,1,S 
27-03-2022,22.3,33.1,27.4,82,8.4,0.2,5,320,2,SW
28-03-2022,23,32.2,27.4,83,8.7,8.5,5,320,2,SW
29-03-2022,23.6,33.5,28.5,78,0,7,4,250,2,NW
30-03-2022,24,32.5,28.5,75,-,5.7,4,360,2,N 
31-03-2022,25.7,34.3,29.5,82,0,2.1,5,230,2,SW
,,,,,,,,,,
,,,,,,,,,,
