TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2022,24.8,32.2,28.2,78,0,4.2,6,70,2,E 
02-09-2022,23.8,32,27.6,85,7,5.4,6,30,2,NE
03-09-2022,22.7,33.4,27.5,78,-,4.1,8,240,4,SW
04-09-2022,24.6,33.4,28.5,72,0,7.6,4,50,2,SW
05-09-2022,24.8,32.2,28,79,4.4,6.8,6,70,2,NE
06-09-2022,24.6,31.8,28.2,78,8888,6.9,6,40,3,NE
07-09-2022,-,31,27.5,81,2.6,8.4,6,60,2,SW
08-09-2022,23.4,31.2,25.4,90,31.2,7.6,3,250,2,W 
09-09-2022,22.9,30.4,25.6,88,1.3,0,5,240,2,SW
10-09-2022,-,30.3,25.4,91,38.8,2.4,4,190,2,S 
11-09-2022,23,31.2,27.3,81,16.8,1.8,4,10,2,S 
12-09-2022,22.6,31.6,27.3,80,0.2,10,4,20,2,SW
13-09-2022,22.5,32.2,27.6,77,1,6.4,3,290,2,S 
14-09-2022,22.6,32.6,27.1,78,8888,5.2,4,350,2,S 
15-09-2022,23.2,32.6,27.6,73,-,4.4,3,360,2,S 
16-09-2022,23.6,32.5,28,74,0,7.2,4,360,2,S 
17-09-2022,23,32.1,27.9,77,0,4.8,6,50,3,NE
18-09-2022,23.8,31.6,27.7,81,0,7.5,5,190,2,SW
19-09-2022,23.8,33.2,27.7,78,0.4,1.6,5,60,2,S 
20-09-2022,22.2,32,27.3,76,0,8.8,4,20,2,N 
21-09-2022,22.4,31.8,27.8,81,7,3.5,4,80,2,S 
22-09-2022,23.4,32.2,27,84,0,4.9,4,350,2,SW
23-09-2022,23.6,32,27.1,84,21.5,1.2,5,230,2,SW
24-09-2022,-,32.2,27.3,82,1.8,-,4,50,2,SW
25-09-2022,23,32.5,27.9,81,0,9.8,4,360,2,S 
26-09-2022,23,33.6,28.6,76,0,5.6,5,270,2,N 
27-09-2022,24,33,28.6,68,0,6.2,5,20,2,N 
28-09-2022,23.2,32.7,28.5,72,0,8.9,5,350,2,S 
29-09-2022,25,31.8,28.1,72,8888,6.8,4,360,2,N 
30-09-2022,23,32.4,28.1,76,0,2.2,5,60,2,E 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
