TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2021,23.3,31.6,27.1,82,42,3.4,4,20,2,S 
02-08-2021,-,31.6,27.4,81,2.4,7.8,4,30,2,S 
03-08-2021,23.4,31.7,27.4,78,0,5.6,5,30,2,S 
04-08-2021,24,32.4,27.9,76,0,8.2,5,40,2,S 
05-08-2021,23.8,32.2,26.6,84,8888,9.1,5,40,2,S 
06-08-2021,21.3,32.3,27.5,76,0,4.5,7,70,4,E 
07-08-2021,24.5,33,28.1,76,0,9.5,8,60,4,E 
07-08-2021,24.5,33,28.1,76,0,9.5,8,60,4,E 
08-08-2021,-,32.6,27.7,82,0,10.3,8,40,4,E 
08-08-2021,-,32.6,27.7,82,0,10.3,8,40,4,E 
09-08-2021,25.4,32.4,28.5,78,0,7.9,6,60,4,NE
10-08-2021,23.2,30,26.4,86,66.6,9.5,3,110,1,NE
11-08-2021,23.4,32.2,27.5,75,0.8,0,8,70,3,S 
12-08-2021,23,32.2,27.4,72,0,8.8,5,50,2,NE
13-08-2021,23.5,32.3,26.6,82,0,9.8,8,40,2,E 
14-08-2021,23.2,32.6,27.9,78,-,5.2,6,70,2,E 
15-08-2021,23.9,33.4,28.3,72,0,3.5,10,90,4,E 
16-08-2021,22.4,32,27.8,72,0,8.4,6,50,3,NE
17-08-2021,24.3,32.2,27.7,77,0,9.9,5,60,2,SW
18-08-2021,24,32,26.5,80,0,7.4,5,320,2,SW
19-08-2021,23.2,32.6,27,79,1.6,5.4,7,350,2,S 
20-08-2021,23.8,32.5,27.7,70,0,7,4,30,2,S 
21-08-2021,24.3,31.4,26.9,82,0,4.2,5,320,2,SW
22-08-2021,23.2,32.3,27.2,80,0,2.1,6,60,2,E 
23-08-2021,23.8,31.8,27.5,83,0,3.5,6,40,3,NE
24-08-2021,24.6,31.6,27,88,0.6,7.2,4,310,2,S 
25-08-2021,23,-,27.2,74,14.7,3.4,3,180,2,S 
26-08-2021,22.4,32.2,27,73,0,3.6,4,40,2,NE
27-08-2021,23,33.3,27.5,76,0,10,4,350,2,N 
28-08-2021,23.8,33.6,28.3,68,0,8.6,6,30,2,NE
29-08-2021,23.8,30.5,27,78,0,10.2,4,300,2,SW
30-08-2021,23.8,32.2,27.6,81,0.8,5.5,4,360,2,SW
31-08-2021,24.6,31.2,28,78,0.5,4,4,360,2,SW
