TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2021,24.8,29.8,27,81,1,6.5,5,280,3,W 
02-04-2021,24.7,32.8,28.2,77,0,0,6,40,3,E 
03-04-2021,23.6,28.8,26.1,89,79.4,6.8,15,70,2,S 
04-04-2021,24.6,30.2,26.8,87,1.2,0.2,3,360,1,N 
05-04-2021,24.8,32.1,27.9,79,0,0,6,210,3,SW
06-04-2021,24.4,32.8,28,73,0,1.5,9,270,5,W 
07-04-2021,24.6,32,26.5,83,3,4.2,6,220,3,W 
08-04-2021,24.6,33.3,28.6,76,0.7,-,7,290,3,W 
09-04-2021,24.6,31.4,27.8,82,0,9.6,5,310,2,W 
10-04-2021,23.4,31.8,26.9,81,4.6,8.7,5,310,2,NW
11-04-2021,23.7,32.8,27.1,78,0,4.8,5,290,2,S 
12-04-2021,24.4,33.4,27.2,82,0,5.3,6,20,2,SE
13-04-2021,22.2,33,27.6,82,15.2,6.2,5,230,2,SW
14-04-2021,24.5,32,26.8,87,8888,5.8,5,270,2,S 
15-04-2021,23.4,32,26.4,86,15.3,6.9,5,20,2,S 
16-04-2021,23.5,32.1,27.6,79,0,6.9,4,40,2,SW
17-04-2021,24.6,31.6,27.9,81,0,8.5,4,30,2,SW
18-04-2021,24.8,32.2,27.7,82,0,6.7,4,350,2,S 
19-04-2021,24.4,32,28.1,78,-,3,5,50,2,S 
20-04-2021,24,32,27.6,80,4.3,7.8,5,30,2,S 
21-04-2021,23.3,32,27.4,78,0,7.3,5,40,2,NE
22-04-2021,24,32.4,27.7,75,0,9.9,4,40,2,NE
23-04-2021,22.4,32.4,27.8,75,-,7.5,4,300,2,S 
24-04-2021,23.8,32.3,27.9,72,0,10.2,6,10,2,N 
25-04-2021,24.8,32,27.9,74,0,9,6,30,2,NE
26-04-2021,24,32.5,28.5,76,0,9.2,7,60,3,NE
27-04-2021,24.4,32.6,28.3,79,0,10,8,50,3,NE
28-04-2021,25.2,31.4,27.6,80,0.7,9.8,4,40,2,S 
29-04-2021,23.6,-,27.7,79,7.5,4.3,4,60,2,NE
30-04-2021,23.8,31.6,27.4,81,19.5,8.6,6,40,2,NE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
