TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2021,25,32.4,28.6,82,0,4.6,6,70,3,E 
02-05-2021,25.4,32.4,28.9,80,3.3,8.4,6,50,3,E 
03-05-2021,25,32.2,28.1,80,0,2.2,9,80,3,E 
04-05-2021,24.6,32,28.4,78,0,3.9,4,50,2,NE
05-05-2021,24.7,32.4,28,81,-,-,4,20,2,S 
06-05-2021,25.6,32.3,27.7,80,0,2.5,4,170,2,S 
07-05-2021,24.6,32.9,28.4,78,8888,3.6,6,30,2,NE
08-05-2021,24.4,32.4,27.5,86,11.3,7.2,5,30,2,NE
09-05-2021,23.6,32.8,28.3,79,10.5,4.1,5,50,2,NE
10-05-2021,24.6,32.4,28.4,80,0,8.8,6,40,3,E 
11-05-2021,-,33.5,29.5,70,-,9.5,7,40,3,NE
12-05-2021,26.2,33.1,29.1,78,0,10.4,5,70,3,E 
13-05-2021,24.5,33.2,28.3,81,0,9.3,5,60,2,E 
14-05-2021,24.2,33.2,28.3,79,0,1,6,60,3,E 
15-05-2021,24.2,33.1,28.1,80,0,3.3,6,50,3,NE
16-05-2021,24.6,32.8,28.7,78,-,-,6,20,3,S 
17-05-2021,25.2,32.5,28.6,78,0,8,5,40,3,SE
18-05-2021,23.2,31.7,26.5,82,40.8,2.5,4,10,2,N 
19-05-2021,23.8,32.2,27.7,80,0,3.8,4,80,2,NE
20-05-2021,24.8,32,28,84,8888,5.2,5,60,2,S 
21-05-2021,24.4,32,27.3,80,-,-,5,50,3,S 
22-05-2021,25.2,31.6,27.7,80,0,4,3,30,2,S 
22-05-2021,25.2,31.6,27.7,80,0,4,3,30,2,S 
23-05-2021,24,31.8,27.5,79,1.6,0.7,3,60,2,NE
24-05-2021,24.6,32.7,28.1,82,0,4.6,6,100,3,S 
25-05-2021,23.6,32.6,27.5,79,65.4,8.6,4,110,3,E 
26-05-2021,24.4,32.2,28.2,79,0,9.2,10,70,4,E 
27-05-2021,25.5,32.2,28.9,77,0,9.9,7,110,4,E 
28-05-2021,24.8,32.2,28.4,81,0,6.8,6,40,2,NE
29-05-2021,24.4,31,26,88,12.4,9.6,4,230,2,S 
29-05-2021,24.4,31,26,88,12.4,9.6,4,230,2,S 
30-05-2021,23.2,32.2,27.4,83,6.4,1,4,70,2,NE
31-05-2021,24.6,32.1,28.1,81,0,8.8,3,300,2,W 
