TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-11-2021,24,31.7,26.7,88,0,5.6,4,330,2,SW
02-11-2021,23.3,32.6,26.9,80,9.8,1.9,7,230,2,SW
03-11-2021,23.2,32.8,27.5,81,0.2,3.7,4,360,2,S 
04-11-2021,24.2,33.4,28.3,82,0,4.9,5,350,2,W 
05-11-2021,23.8,29.4,26.9,88,4.7,7.2,3,330,2,S 
06-11-2021,23.4,-,28.9,75,3,1.8,4,360,2,SW
07-11-2021,24.4,32.9,27.5,82,-,9.5,7,250,2,SW
08-11-2021,23.5,32,27.7,81,0.3,3.3,5,40,2,NE
09-11-2021,26,32.8,28.9,76,8888,5.3,5,310,3,NW
10-11-2021,-,31.6,28,72,-,6.4,5,250,3,W 
11-11-2021,23.8,30.8,27.6,77,0.4,6.7,4,270,3,SW
12-11-2021,25.9,32.9,27.9,73,0,2,6,250,3,SW
13-11-2021,24,33,27.2,86,1,2.2,3,230,2,SW
14-11-2021,24,34,28.7,72,0.6,1,5,240,3,W 
15-11-2021,25.2,29.4,27.4,78,0,5.4,5,220,3,SW
16-11-2021,25,33.4,28.9,67,0,0.6,6,240,3,SW
17-11-2021,23.1,33.4,29.3,68,0.5,5.7,5,230,2,SW
18-11-2021,24.2,33.1,28.5,75,0,6.1,6,240,3,SW
19-11-2021,24.8,30.4,26.7,76,0,3.5,9,260,4,SW
20-11-2021,23.5,32.3,27.5,76,-,4,5,350,2,SW
21-11-2021,24.6,33.6,28.7,74,0,3.1,6,310,3,SW
22-11-2021,23,32,27.9,76,0,5.3,6,280,4,SW
23-11-2021,23.9,31.5,26.7,80,1.4,6,13,240,5,SW
24-11-2021,24,34,28.9,56,8888,3.2,6,240,3,W 
25-11-2021,24.1,34,28.7,68,0,2.5,7,280,3,SW
26-11-2021,24.9,34.5,28.1,80,8888,5.5,7,250,3,SW
27-11-2021,24,32.6,26.8,80,10.3,4.2,8,270,4,SW
28-11-2021,22.8,32.8,27.4,76,7.2,6.2,8,230,4,SW
29-11-2021,24.4,31.6,27.6,73,0.1,2.1,6,240,4,SW
30-11-2021,24.8,32.4,28.5,71,-,2.2,3,330,2,SW
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
