TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2021,25,32.3,28.3,78,0.2,8.4,6,340,3,N 
02-03-2021,22.4,31.3,26.5,83,14.6,5.6,4,10,2,N 
03-03-2021,22.8,31.6,26.9,86,32.5,5.6,5,350,2,N 
04-03-2021,23.6,31.6,27.8,78,-,7.3,4,330,2,S 
05-03-2021,24,31.5,26.9,83,8888,4.8,5,350,2,S 
06-03-2021,23.5,30.8,26.7,86,15.6,5.7,6,230,2,W 
07-03-2021,-,32.4,27.6,80,8888,2.8,7,290,2,W 
08-03-2021,23.5,31.6,26.5,80,11.5,4.5,5,270,2,SW
09-03-2021,22.8,32,26.2,84,0.8,4.4,5,330,2,N 
09-03-2021,22.8,32,26.2,84,0.8,4.4,5,330,2,N 
10-03-2021,-,30.6,27,82,7.5,3,6,340,2,N 
11-03-2021,21.7,30.4,25.3,83,74.5,7.4,4,310,2,NW
12-03-2021,22,29.6,26.5,87,14.4,4.4,6,310,3,W 
13-03-2021,23.8,32,27.7,80,4.7,1.5,6,330,2,NW
14-03-2021,23,31,25.6,83,0,5.9,4,270,2,W 
15-03-2021,20.5,30.6,26.5,86,5,4.2,3,20,2,N 
16-03-2021,24,31.8,27.4,78,0,0.2,7,260,2,W 
17-03-2021,23,32.8,27.3,81,8888,7,4,310,2,SW
17-03-2021,23,32.8,27.3,81,8888,7,4,310,2,SW
18-03-2021,24,32.6,28,76,0,7.7,3,350,2,N 
19-03-2021,25,32,27.8,80,3,8.6,3,340,2,SW
20-03-2021,-,32.8,27.3,78,-,3.6,4,350,2,W 
21-03-2021,-,33.6,28.2,78,1.6,4.9,7,270,3,W 
22-03-2021,24.7,33.2,28.5,76,0,8,6,300,3,W 
23-03-2021,25,33,27.5,79,0,10.1,5,240,3,W 
24-03-2021,24.8,-,27.8,74,0,8.6,9,300,4,SW
25-03-2021,-,32,27.6,78,0,6.1,5,350,2,SW
26-03-2021,23.5,33.4,28.6,73,-,6.8,4,310,2,NW
27-03-2021,24.4,32.4,27.6,82,0.1,10,4,350,2,S 
28-03-2021,24.2,32.7,28,82,8.1,4.1,5,60,2,S 
29-03-2021,25.2,32.2,28.1,81,7.2,9.2,5,340,2,W 
30-03-2021,24.7,29.6,26.7,85,0,2.9,3,230,2,SW
31-03-2021,24.3,32.8,27.9,80,8888,0,7,320,4,SW
