TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2021,24,32.4,27.7,76,0,2,5,40,2,NE
02-09-2021,23.5,32.8,27.6,76,0,8.8,3,350,2,S 
03-09-2021,24.6,32.6,28.1,72,0,5.5,5,20,2,N 
04-09-2021,24.6,32.5,28.2,68,0,4.1,4,350,2,N 
05-09-2021,24.2,32.4,28.1,73,-,3.8,5,70,3,NE
06-09-2021,24.8,32.5,28.1,80,0,10,7,50,3,S 
07-09-2021,24,30.9,26.5,83,1.2,3.2,5,60,2,SW
08-09-2021,23,31.9,26.8,80,9.7,3.5,5,200,2,S 
09-09-2021,23.4,32.8,27.5,70,2.4,8.4,4,30,2,S 
10-09-2021,23,33.1,27.7,68,0,9.6,4,110,2,SW
11-09-2021,24.2,32.6,27.8,77,0,10.7,4,40,2,N 
12-09-2021,24.8,32.2,27.3,85,8888,4.5,5,80,2,S 
13-09-2021,24.4,32.6,27.6,80,0.5,0.7,7,80,4,E 
14-09-2021,23.6,28.6,25.3,89,22,6.9,5,230,2,SW
15-09-2021,23,31.3,26.8,85,10.2,0,5,70,3,E 
16-09-2021,23.6,32.2,28.2,79,0.8,7.9,6,50,3,E 
17-09-2021,24.2,32.3,28.6,76,0,10.5,6,40,3,NE
18-09-2021,24.6,33.8,29.1,69,0,10.5,6,50,3,NE
18-09-2021,24.6,33.8,29.1,69,0,10.5,6,50,3,NE
19-09-2021,24.6,31.8,27.3,80,0,10.6,4,300,2,S 
20-09-2021,23.6,32.6,27.9,74,2.5,2.5,4,10,2,S 
21-09-2021,24,32.8,28.4,73,0,7.9,4,350,2,S 
22-09-2021,24.9,33.6,28.8,72,0,7.6,7,50,3,E 
23-09-2021,24.8,33,28.5,73,0,9.5,8,70,4,E 
24-09-2021,24.8,33,28.5,73,0,6.9,8,40,3,E 
25-09-2021,25.8,33,29.5,72,0,10.5,6,20,3,NE
26-09-2021,26,33,29.2,73,0,10.8,5,60,3,S 
27-09-2021,24.2,32.6,28,79,8888,10.5,7,40,3,NE
28-09-2021,25.2,32.8,28.4,80,4.4,8.5,6,20,2,NE
29-09-2021,24,32.8,28.5,78,0.6,6.8,4,360,2,N 
30-09-2021,25.2,32.9,28.9,74,0,7.5,5,10,2,SW
,,,,,,,,,,
,,,,,,,,,,
