TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2021,24.6,32,27.5,83,0,5.8,4,350,2,SW
01-06-2021,24.6,32,27.5,83,0,5.8,4,350,2,SW
02-06-2021,24.8,31.5,27.8,81,0,5.3,5,20,2,S 
03-06-2021,24.8,32.3,28.5,84,0,8.8,4,60,2,E 
04-06-2021,25.8,32.2,28.5,84,0.5,6.5,5,40,2,S 
05-06-2021,24.4,32,28.1,82,0.2,6,4,30,2,N 
06-06-2021,25.1,32.6,28.2,82,9,6.1,5,310,2,SW
07-06-2021,-,32.4,27.4,80,0,7,5,130,2,SW
08-06-2021,23.8,32.2,28.3,76,0,8.8,5,350,2,N 
09-06-2021,24.6,32.4,28.2,80,-,8.6,5,240,2,S 
10-06-2021,24.5,32.4,28.5,77,-,6.6,4,50,2,NE
11-06-2021,24.2,32.5,28.3,78,0,7.8,4,30,2,SW
12-06-2021,23.1,33.5,27.6,82,0,7.7,5,60,2,S 
13-06-2021,24,33.1,28.4,81,0,7.3,6,70,3,E 
14-06-2021,21.4,32,27.4,83,-,8.9,8,60,3,E 
15-06-2021,25.2,32,28.1,77,0,3.2,5,10,2,SE
16-06-2021,23.8,31.7,26.7,86,0,7,5,80,2,SW
17-06-2021,23.8,31.4,27.1,85,0.2,2.1,5,70,2,S 
18-06-2021,24.2,30.2,26.2,86,1.2,2.1,4,40,2,SE
19-06-2021,24.2,27.4,25.9,90,6,2,3,350,1,NE
20-06-2021,23.6,32,26.2,88,0,0,4,210,2,SW
21-06-2021,23.2,31,24.7,89,4,4.4,5,230,2,SW
22-06-2021,22.3,31.2,26.6,81,21.8,3.1,5,30,2,N 
23-06-2021,23.9,31.2,27,83,0,6,4,50,2,SW
24-06-2021,23.4,30.1,26.1,86,0,0.5,4,80,2,S 
25-06-2021,23.6,31.9,27.2,82,0,2.3,5,40,3,NE
26-06-2021,23.5,32.3,27.4,82,-,6.9,6,60,2,SW
27-06-2021,23,31.8,27,84,0,6.8,5,20,2,SW
28-06-2021,24,31.2,27.5,82,0.1,6.4,6,60,2,S 
29-06-2021,23.5,32.8,27.4,78,0,2.5,4,40,2,NE
30-06-2021,-,31,26.5,84,6,5.9,3,310,2,S 
,,,,,,,,,,
,,,,,,,,,,
