TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2021,25.8,34.8,29.2,59,0,0.9,9,280,4,SW
02-12-2021,25.2,35,29.9,63,0,5.1,7,250,5,SW
03-12-2021,26,32.4,28.9,69,0,11.8,5,230,3,SW
04-12-2021,23.8,28.6,25.3,88,8888,0.2,5,300,2,SW
05-12-2021,24.2,27.7,25.2,90,3,1.7,4,270,2,W 
06-12-2021,23,30.8,26.1,85,22,0,4,250,2,N 
07-12-2021,22.9,29,26,90,65,2.6,5,270,2,S 
08-12-2021,23.8,32,27.8,81,1.6,0.3,5,250,2,NW
09-12-2021,23.2,31.6,27.1,85,27.5,0.2,5,320,2,W 
10-12-2021,23.8,31.6,27.3,80,10,5.6,8,250,3,SW
11-12-2021,23,30.8,27.1,83,49,6.2,4,300,2,NW
12-12-2021,23.8,32.6,28.5,71,0,4.5,6,250,3,W 
13-12-2021,24.8,32.4,28.8,73,0,5.1,8,260,4,W 
14-12-2021,26.1,31,28.2,78,0,6.7,6,340,3,W 
15-12-2021,24.8,32.6,27.7,78,-,4.5,4,210,2,SW
16-12-2021,25,33.1,27.5,79,0,1.1,5,350,2,S 
17-12-2021,23.2,32.6,27.7,75,0,3.7,7,310,2,SW
18-12-2021,23.9,35.5,28.4,73,0,4.4,5,290,2,SW
19-12-2021,23.8,32.8,28.8,76,5,7.8,4,350,2,SW
20-12-2021,24.6,32.6,27,81,0,5,6,330,3,SW
21-12-2021,24,30.2,25.4,92,1.1,1.9,4,310,2,S 
22-12-2021,22.8,32.2,27.5,78,67,0,3,350,2,S 
23-12-2021,23.2,32.2,26.2,86,0,6.7,5,280,2,SW
24-12-2021,23.5,32.5,27.1,83,15.4,3,4,340,2,SW
25-12-2021,24.4,31.4,26.5,83,8888,4.3,6,280,2,SW
26-12-2021,22.1,31.4,27.2,79,16.7,2,5,270,2,W 
27-12-2021,22.8,31.2,27.4,78,8888,2.7,5,340,2,S 
28-12-2021,23.4,31,27.3,82,0,7.6,5,330,2,NW
29-12-2021,23.2,31.4,27.4,83,37,4.6,4,10,2,N 
30-12-2021,24.2,30.4,27.1,86,1.6,2.7,5,330,2,SW
31-12-2021,24.2,32.8,28.1,75,0,0.5,6,250,3,W 
,,,,,,,,,,
,,,,,,,,,,
