TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2023,23,33,27.2,75,0,10.9,6,80,3,E 
02-08-2023,23.6,32,28.5,74,0,10.1,3,50,2,SE
03-08-2023,25.2,33.4,28.5,77,0,1,6,50,3,S 
04-08-2023,24.2,33.2,28.1,74,0,7.5,5,70,2,E 
05-08-2023,23.4,32.6,27.8,75,0,9,5,60,2,E 
06-08-2023,23.4,33.6,27.6,73,0,9.2,4,20,2,SW
07-08-2023,22.8,32.5,27.1,79,0,0,4,70,2,E 
08-08-2023,23,32.6,27.7,79,0,7.3,7,50,3,NE
09-08-2023,23.4,32.4,27.2,82,0,7.6,6,50,3,E 
10-08-2023,23.1,32.6,27.1,78,0,9.9,4,60,2,NE
11-08-2023,23.6,32.4,27.6,76,0,9.2,4,360,2,E 
12-08-2023,23,32.2,27.3,68,0,5,5,70,2,NE
13-08-2023,21.9,32.6,26.5,73,0,7.8,6,60,2,NE
14-08-2023,22.4,32.5,26.8,72,0,7.3,4,40,2,NE
15-08-2023,22.2,32.1,26.9,78,0,8.8,4,60,2,NE
16-08-2023,22.4,32.9,27.2,72,0,8,5,30,2,NE
17-08-2023,22.5,32.7,27,70,0,8.4,4,80,2,E 
18-08-2023,23.6,33.5,27.8,70,0,9.1,5,320,2,N 
19-08-2023,22.7,32.4,27,77,0,8.8,5,60,2,E 
20-08-2023,23.8,33.2,28.3,74,0,10.1,5,40,2,E 
21-08-2023,23.6,32.6,27.9,72,0,8.6,8,30,3,NE
22-08-2023,22.5,32.8,27.3,73,0,7.4,4,40,2,NE
23-08-2023,22.8,32.7,27.8,72,0,6.3,5,40,2,E 
24-08-2023,23.4,32.8,27.3,78,0,9.1,5,50,2,NE
25-08-2023,23.2,33.1,27.8,76,0,10.3,5,40,2,NE
26-08-2023,-,33.2,28.6,72,-,10,4,10,2,N 
27-08-2023,24.4,32.8,28.1,76,0,6.3,4,10,2,N 
28-08-2023,23.4,32.8,27.1,74,52.6,6.1,5,10,2,S 
29-08-2023,21.8,31.8,26.8,74,0,5.5,5,60,2,NE
30-08-2023,21.5,32.7,26.8,76,-,8.9,6,70,2,E 
31-08-2023,22.2,32.8,26.9,77,0,9.9,4,20,2,N 
,,,,,,,,,,
,,,,,,,,,,
