TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-10-2023,23,32.8,28.1,72,0,8.7,5,10,2,N 
02-10-2023,24,33.2,28.6,65,-,3.8,3,140,2,N 
03-10-2023,23.6,33.9,28.5,66,0,6.6,5,350,2,SW
04-10-2023,24,34,28.5,71,0,8.4,4,40,2,NE
05-10-2023,23.5,33.4,28.6,74,0,9.1,7,40,3,NE
06-10-2023,24.5,33.9,29,70,0,9.1,6,30,2,SW
07-10-2023,23.8,34.6,29,74,0,8.4,6,10,2,N 
08-10-2023,23.6,34.5,28.4,74,0,9,5,50,2,SW
09-10-2023,23.8,34,28.9,74,0,9.2,8,10,3,E 
10-10-2023,26.3,34.4,29.7,71,0,9.1,8,30,2,E 
11-10-2023,25,34,29.8,70,-,8.8,5,90,2,NE
12-10-2023,25.2,35.5,29.3,73,0,7.3,8,40,3,N 
13-10-2023,25.1,34.4,29.3,75,-,7.8,5,60,2,S 
14-10-2023,25.1,34.2,29.5,66,0,8,4,60,2,NE
15-10-2023,24.8,34.6,29.3,65,0,8,8,40,3,E 
16-10-2023,24.4,36.2,29.8,68,0,6,5,40,2,W 
17-10-2023,25.4,36,29.5,67,0,9.8,8,70,2,SW
18-10-2023,23.4,35.6,29.3,66,0,7.1,4,70,2,E 
19-10-2023,24.4,34,29.3,70,0,9.9,8,50,3,E 
20-10-2023,25.6,34.2,29.2,72,0,8.2,6,30,2,S 
21-10-2023,24.2,34.4,28.7,73,0,8.1,7,30,2,SW
22-10-2023,24.6,35.2,29.8,67,0,9.7,5,340,2,N 
23-10-2023,24.4,34.6,28.9,64,0,7.2,4,30,2,SW
24-10-2023,-,33.7,29.3,65,-,8.6,6,10,2,N 
25-10-2023,23.5,33,28.5,79,19.8,4.4,4,20,2,S 
26-10-2023,24.5,34,29.4,71,0,4.6,5,350,2,SW
27-10-2023,24.2,34.4,28.9,71,0,9.2,7,30,2,NE
28-10-2023,-,34.6,29.1,70,0,7.4,4,40,2,NE
29-10-2023,23.8,35.8,29.5,66,0,10.2,7,20,2,S 
30-10-2023,24.2,34.4,29.5,67,0,10.6,5,20,2,SW
31-10-2023,26.1,34.8,29.7,68,0,10,4,340,2,S 
,,,,,,,,,,
,,,,,,,,,,
