TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2023,23.6,29.2,25.8,90,1.8,6.9,4,350,2,SW
02-03-2023,22.4,26.4,24.6,94,107.6,3,4,270,2,W 
03-03-2023,22.8,31.8,26.8,86,4.1,0,5,320,3,SW
04-03-2023,23.2,31.4,26.9,78,0.6,7.1,4,260,2,W 
05-03-2023,23.2,31,25.9,91,6.8,0.9,4,310,2,W 
06-03-2023,24.4,32,27.7,77,3.8,3.2,5,280,3,W 
07-03-2023,23,31.2,27.2,81,0,8.9,6,310,3,NW
08-03-2023,23.8,29.4,25.7,88,0.5,9.8,4,280,2,SE
09-03-2023,23.6,30.8,26.6,84,10.9,2,5,310,2,N 
10-03-2023,21.7,31.2,27.1,88,4.8,6.1,5,270,2,N 
11-03-2023,23.6,31.6,27.7,82,8888,8.7,4,350,2,N 
12-03-2023,24,30.6,27.5,88,8888,8.7,4,320,2,NW
13-03-2023,23.4,31.5,27.4,83,0,1.4,6,320,3,NW
14-03-2023,24,29,26.2,87,2.2,8.3,5,240,3,N 
15-03-2023,21.8,28.3,24.7,92,42.8,0,3,290,1,SW
16-03-2023,21.6,30.7,26.4,86,7.2,0,4,360,2,N 
17-03-2023,23.6,31.4,27.3,85,-,9.7,5,340,2,N 
18-03-2023,23.4,31.8,27.8,78,0,9.3,5,10,2,N 
19-03-2023,22.1,31.6,28.3,83,-,9.7,5,50,2,SW
20-03-2023,23.2,32.2,27.2,86,0,5.3,3,10,2,S 
21-03-2023,23.2,31.8,27.6,78,2.8,6.2,4,50,2,NE
22-03-2023,25,32.5,28.2,83,3,9.1,4,30,2,N 
23-03-2023,24,32.4,27.9,84,1,8.2,6,20,2,N 
24-03-2023,24.4,32.3,28.3,81,0,8.4,4,240,2,W 
25-03-2023,25.4,34,28.2,80,0,5.9,7,270,3,NW
26-03-2023,23.8,32,26.4,88,7.8,4.5,4,340,2,W 
27-03-2023,24.2,32.2,26.9,86,0,4.9,6,250,2,SW
28-03-2023,24.4,30.1,26.1,90,1.6,-,3,330,2,N 
29-03-2023,23.6,31.6,26.2,88,1,0.3,11,230,2,SW
30-03-2023,22.1,32,25.4,94,16.1,4.3,4,300,2,W 
31-03-2023,24.5,32.6,28.2,78,40.5,3.4,6,300,3,SW
,,,,,,,,,,
,,,,,,,,,,
