TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2023,23.6,29.4,26.3,89,1.5,3.5,3,260,2,E 
02-12-2023,24.8,33.6,28.2,77,2.1,0,4,50,2,S 
03-12-2023,23.8,32.3,27.6,80,0,6.9,3,250,2,S 
04-12-2023,24.8,28.6,25.9,89,1.5,1.9,3,110,2,S 
05-12-2023,23.2,32.4,28.4,76,0,0.1,4,60,2,E 
06-12-2023,23.6,33.4,28.4,77,0,8.5,4,330,2,S 
07-12-2023,25,32.5,28.5,79,0,7.7,4,230,2,SW
08-12-2023,25.2,33.8,28.4,79,0,1.9,4,340,2,SW
09-12-2023,25,33.1,28.2,79,8888,4.7,3,310,2,S 
10-12-2023,24.8,32,28.4,78,0,2.6,3,60,2,S 
11-12-2023,24.4,33.7,29,73,0,0.5,8,250,2,N 
12-12-2023,23.5,34,28.7,74,0,8.9,4,170,2,SW
13-12-2023,24.1,33.6,29.1,72,0,6.9,5,320,2,SW
14-12-2023,24.8,34.4,29.3,69,0,9.6,6,340,3,SW
15-12-2023,23.5,34.6,29.2,68,0,9.4,5,240,2,SW
16-12-2023,24.4,34.6,29.2,66,0,9.5,4,320,3,SW
17-12-2023,24,34.4,29.2,69,0,10.4,4,310,3,SW
18-12-2023,-,35.6,29.5,67,0,10.4,6,310,3,SW
19-12-2023,-,35.8,28.8,61,0,10.3,7,250,3,SW
20-12-2023,22.2,35.7,28.7,57,0,8.4,5,270,3,SW
21-12-2023,22.4,34,28.6,63,0,11.3,4,300,2,SW
22-12-2023,24,34,28.5,68,0,9.4,4,10,2,W 
23-12-2023,24.3,34,29.5,67,0,5.3,3,320,2,SW
24-12-2023,25.2,34.2,29.7,70,0,4,6,190,3,S 
25-12-2023,24.2,33.6,27.4,82,0,5.8,2,340,1,SW
26-12-2023,24.2,31.4,27.5,80,4.7,1,3,340,2,S 
27-12-2023,24.4,32.7,27.9,81,0,0,3,340,2,SW
28-12-2023,23.8,33.2,28.9,77,1.8,4.7,4,70,2,SW
29-12-2023,25,33.2,28.1,80,0,7.5,4,20,2,S 
30-12-2023,24.6,32.6,27.9,82,9.6,2.4,3,120,2,S 
31-12-2023,25,32.4,27.6,82,0,1.9,4,310,2,W 
,,,,,,,,,,
,,,,,,,,,,
