TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-02-2023,24.6,30,27,86,1.6,0.5,5,280,2,W 
02-02-2023,24.2,29.9,27.1,88,18.2,1.5,5,310,2,NW
03-02-2023,22.2,30.5,25.9,86,21.2,1.2,4,270,2,SW
04-02-2023,23.8,31.2,27.3,83,0.2,0.7,4,310,2,NW
05-02-2023,22.6,33.5,28,76,-,2.6,8,250,3,SW
06-02-2023,25.6,32.7,28.5,70,0.6,8.3,5,260,3,W 
07-02-2023,24.5,30.4,27.2,83,8888,3.8,4,260,2,N 
08-02-2023,22.6,31.8,27,80,10.4,1.7,4,240,2,SW
09-02-2023,23.3,30.6,25.9,83,8888,2.6,9,280,3,SW
10-02-2023,22.4,31.5,27,82,5,2.3,8,280,3,W 
11-02-2023,24,29.4,27.5,84,7,8.5,7,310,3,N 
12-02-2023,23,28.6,24.6,92,21.4,1.4,6,260,2,SW
13-02-2023,22.3,30.2,26.9,82,2.8,2,6,230,4,SW
14-02-2023,23,30.4,26.2,82,0.6,2.7,6,230,4,SW
15-02-2023,23.9,30.5,27.3,81,0.1,1.3,6,280,3,SW
16-02-2023,22.8,31.5,25.7,86,24.6,1.4,5,260,3,W 
17-02-2023,24,30.2,26.4,82,34,2.6,4,320,2,W 
18-02-2023,-,30.8,27.4,82,0.8,1.7,6,310,3,NW
19-02-2023,24.3,31.4,27.5,83,0.8,6.9,5,320,3,NW
20-02-2023,23.1,30.6,27.5,80,8888,7.4,5,300,3,W 
21-02-2023,23.4,30,26.4,85,2,5.7,4,290,2,W 
22-02-2023,23.5,30.2,26.8,84,14.5,1.3,5,320,2,W 
23-02-2023,-,30.2,26.2,89,28.2,4.4,5,320,2,NW
24-02-2023,22.4,28.4,25.7,91,50.2,3.5,3,250,2,W 
25-02-2023,24,30.8,26.4,88,24.2,0,4,300,2,NW
26-02-2023,23.8,29.5,26.2,87,19.6,0.9,5,310,2,NW
27-02-2023,23.5,30,26.7,85,47.2,0.5,7,300,3,W 
28-02-2023,23.8,30.8,26.8,83,23,0.7,6,300,3,W 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
